celltypebydonor,new_count
AT2.pD042,8
AT2.pD071,1
AT2.pD116,2
AT2.pD122,11
AT2.pD123,1
AT2.pD176,5
AT2.pD231,27
AT2.pD239,6
AT2.pD260,7
AT2.pD265,18
AT2.pD266,3
AT2.pD271,3
AT2.pD283,2
AT2.pD288,27
AT2.pD291,10
AT2.pD292,22
AT2.pD294,25
AT2.pD305,1
AT2.pD306,19
AT2.pD311,1
AT2.pD312,1
AT2.pD314,24
AT2.pD315,29
AT2.pD320,12
AT2.pD332,13
AT2.pD339,27
AT2.pD347,29
AT2.pD355,15
AT2.pD356,2
AT2.pD357,4
AT2.pD366,24
AT2.pD369,5
AT2.pD370,11
AT2.pD376,10
AT2.pD381,5
AT2.pUCSDX10,3
AT2.pUCSDX11,3
AT2.pUCSDX13,13
AT2.pUCSDX14,36
AT2.pUCSDX15,7
AT2.pUCSDX16,2
AT2.pUCSDX18,3
AT2.pUCSDX19,27
AT2.pUCSDX2,7
AT2.pUCSDX21,1
AT2.pUCSDX23,4
AT2.pUCSDX24,4
AT2.pUCSDX25,26
AT2.pUCSDX27,1
AT2.pUCSDX28,12
AT2.pUCSDX29,20
AT2.pUCSDX3,5
AT2.pUCSDX30,9
AT2.pUCSDX31,2
AT2.pUCSDX33,9
AT2.pUCSDX35,29
AT2.pUCSDX36,12
AT2.pUCSDX37,18
AT2.pUCSDX38,8
AT2.pUCSDX39,1
AT2.pUCSDX4,5
AT2.pUCSDX40,15
AT2.pUCSDX41,10
AT2.pUCSDX42,12
AT2.pUCSDX43,9
AT2.pUCSDX44,8
AT2.pUCSDX46,1
AT2.pUCSDX47,1
AT2.pUCSDX49,1
AT2.pUCSDX50,5
AT2.pUCSDX51,10
AT2.pUCSDX52,1
AT2.pUCSDX53,7
AT2.pUCSDX58,1
AT2.pUCSDX59,2
AT2.pUCSDX6,3
AT2.pUCSDX61,4
AT2.pUCSDX62,7
AT2.pUCSDX63,3
AT2.pUCSDX64,16
AT2.pUCSDX69,9
AT2.pUCSDX7,26
